RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
02/01/2025,163749,2.0,VALORES,RECEPTIVO,LEANDRO,SANTANDER,ALINE,RESOLVIDO
02/01/2025,207070,1.0,valores,RECEPTIVO,ADRIANO,RENNER,KATIA,RESOLVIDO
06/01/2025,202605,2.0,VALORES,RECEPTIVO,LEANDRO,PSA F.,ITAYNNARA,RESOLVIDO
02/01/2025,229172,1.0,"R$ 20.000,00",RECEPTIVO,LEANDRO,GMAC,MATHEUS,RESOLVIDO
02/01/2025,196528,2.0,VALORES,RECEPTIVO,LEANDRO,PANAMERICANO,KATIA,RESOLVIDO
02/01/2025,222007,1.0,valores,RECEPTIVO,JULIO,SANTANDER,VICTOR ADRIANO,RESOLVIDO
02/01/2025,219001,1.0,valores,RECEPTIVO,JULIO,ITAÃ,VITORIA,RESOLVIDO
06/01/2025,215186,1.0,"R$ 18.000,00",RECEPTIVO,ADRIANO,BRADESCO,MONYZA,RESOLVIDO
02/01/2025,219764,2.0,"R$ 2.500,00",RECEPTIVO,LEANDRO,BRADESCO,VITORIA,RESOLVIDO
02/01/2025,225707,1.0,valores,RECEPTIVO,ANTUNES,BV FINANCEIRA,NUNO,RESOLVIDO
,218159,2.0,"R$ 10.000,00",RECEPTIVO,LEANDRO,BV FINANCEIRA,EDIANE,RESOLVIDO
09/01/2025,195548,1.0,"R$ 25.000,00",RECEPTIVO,LEANDRO,BRADESCO,AMANDA SANTANA,RESOLVIDO
02/01/2025,189343,2.0,valores,RECEPTIVO,LEANDRO,BRADESCO,MATHEUS,RESOLVIDO
30/12/2024,210131,1.0,"R$ 15.000,00",RECEPTIVO,ADRIANO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO
07/01/2025,166224,1.0,"R$ 10.150,00",RECEPTIVO,ADRIANO,BV FINANCEIRA,MARIA BRUNA,RESOLVIDO
02/01/2025,123680,2.0,valores,RECEPTIVO,LEANDRO,SAFRA,ALINE,RESOLVIDO
02/01/2025,200454,3.0,"R$ 6.000,00",RECEPTIVO,ADRIANO,SANTANDER,KATIA,RESOLVIDO
02/01/2025,206293,1.0,valores,RECEPTIVO,ADRIANO,VOLKSWAGEN,YURI,RESOLVIDO
02/01/2025,185162,2.0,valores,RECEPTIVO,ADRIANO,SANTANDER,VICTOR ADRIANO,RESOLVIDO
02/01/2025,219908,1.0,valores,RECEPTIVO,ADRIANO,BV FINANCEIRA,NUNO,RESOLVIDO
02/01/2025,227307,2.0,"R$ 4.184,40",RECEPTIVO,ADRIANO,BV FINANCEIRA,ALINE,RESOLVIDO
02/01/2025,227433,3.0,VALORES,RECEPTIVO,LEANDRO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
03/01/2025,193228,3.0,"R$ 18.000,00",RECEPTIVO,ADRIANO,PANAMERICANO,NUNO,RESOLVIDO
