RESOLUÇÃO,CTT,N°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,  ,
02/01/2025,208050,2,VALORES,RECEPTIVO,JULIO,SANTANDER,ELIZABETE,RESOLVIDO,APROVADO
02/01/2025,132559,1,VALORES,RECEPTIVO,JULIO,VOLKSWAGEN,ELIZABETE,RESOLVIDO,SEM DESCONTO
06/01/2025,197281 ,1,VALORES,RECEPTIVO,REVERSÃO,SANTANDER,FELIPE,RESOLVIDO,EM ACORDO
02/01/2025, 157132,1,VALORES,RECEPTIVO,JULIO,SAFRA,FABIANA,RESOLVIDO,APROVADO
02/01/2025,218489,1,VALORES,RECEPTIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,SEM DESCONTO
03/01/2025,176412,2,VALORES,RECEPTIVO,JULIO,ITAÚ,MATHEUS,RESOLVIDO,APROVADO
03/01/2025,218466,1,"R$ 3.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALANA,RESOLVIDO,
03/01/2025,215692,1,REVALIDAR ,RECEPTIVO,JULIO,ITAÚ,THALISSON,RESOLVIDO,APROVADO
10/01/2025,189610,1,"R$ 8.000,00",RECEPTIVO,JULIO,ITAÚ,ADRIANO,RESOLVIDO,APROVADO
20/01/2025,233695,1,VALORES,RECEPTIVO,LEANDRO,BRADESCO,YURI,RESOLVIDO,CANCELADO
07/01/2025,217682,3,"R$ 15.000,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,APROVADO
15/01/2025,227840,1,"R$ 8.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,MATHEUS,RESOLVIDO,
06/01/2025,215185,1,"R$ 3.300,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
02/01/2025,210678,2,"R$7.000,00",RECEPTIVO,JULIO,ITAÚ,ALANA,RESOLVIDO,APROVADO
02/01/2025,213845,1,"R$6.000,00",RECEPTIVO,JULIO,ITAÚ,ALINE,RESOLVIDO,
02/01/2025,188131,1,VALORES,RECEPTIVO,JULIO,PANAMERICANO,LETICIA,RESOLVIDO,QUITADO EMPRESA
02/01/2025,206038,1,"R$5.000,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,APROVADO
07/01/2025,215007,2,"R$ 13.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,135574,1,"11.000,00 - ultima tratativa",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,APROVADO
02/01/2025,218206,1,VALORES,RECEPTIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,AGUARDANDO COMPROVANTE
03/01/2025,205322,1,REVALIDAÇÃO ACORDO,RECEPTIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,83970,1,APROVAR CAMPANHA,ATIVO,JULIO,RENNER,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,99672,1,VALORES,ATIVO,JULIO,SAFRA,LETICIA,RESOLVIDO,APREENDIDO
02/01/2025,62157,1,VALORES,ATIVO,JULIO,OMNI,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
10/01/2025,215512,1,"R$ 5.000,00",ATIVO,JULIO,RENNER,JULIANE,RESOLVIDO,
02/01/2025,217639,1,VERIFICAR SE QUITOU,ATIVO,JULIO,ITAÚ,ISABELLA,RESOLVIDO,QUITAÇÃO PARCELADA
02/01/2025,218770,2,VALORES,ATIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,
02/01/2025,187143,1,VALORES,ATIVO,JULIO,RENNER,LETICIA,RESOLVIDO,APROVADO
02/01/2025,103062,2,VALORES,ATIVO,JULIO,SANTANA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,185408,1,"R$ 10.000,00",ATIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,176580,2,"R$ 10.400,00",RECEPTIVO,JULIO,RENNER,LETICIA,RESOLVIDO,QUITADO EMPRESA
02/01/2025,216061,2,"R$ 2.800,00",RECEPTIVO,JULIO,RENNER,ALANA,RESOLVIDO,SEM DESCONTO
02/01/2025,4785 ,1,VERIFICAR SE QUITOU,RECEPTIVO,JULIO,PANAMERICANO,ISABELLA,RESOLVIDO,QUITADO CLIENTE
05/12/2025,209655,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,TRANSFERÊNCIA
02/01/2025,181787,1,VALORES,RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,172999,3,VALORES,RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,205231 ,1,"R$ 54.900,00",ATIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
10/01/2025,163097 ,4,"R$ 5.000,00",ATIVO,JULIO,VOLKSWAGEN,LUARA,RESOLVIDO,
14/01/2025,169688,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,ADRIANO,RESOLVIDO,APROVADO
07/01/2025,169518,1,VALORES,ATIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,APROVADO
02/01/2025,221699,2,"R$ 6.200,00",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,216061,2,"R$ 2.800,00",ATIVO,JULIO,RENNER,ALANA,RESOLVIDO,
30/12/2025,180370,1,50% á 80%,RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,AGUARDANDO PROCURAÇÃO
07/01/2025,199953,1,50% Á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÇÃO
02/01/2025,221199,1,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
13/01/2025,206363,1,"R$ 12.000,00",RECEPTIVO,ANTUNES,BV FINANCEIRA,ANA GESSICA,RESOLVIDO,SEM DESCONTO
06/01/2025,217960,1,Verificar se fez acordo ,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,SEM DESCONTO
08/01/2025,213385,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,APROVADO
07/01/2025,196721 ,2,"R$ 4.000,00",ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÇÃO
