Sheet,Linha,Coluna,Valor_Original,Erro,Sugestao_Correcao
DEMANDAS JULIO,834,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,842,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,881,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,915,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,920,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,924,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDAS JULIO,941,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,834,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,842,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,881,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,915,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,920,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,924,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
DEMANDA LEANDROADRIANO,941,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,834,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,842,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,881,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,915,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,920,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,924,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
QUITADOS,941,RESOLUCAO,6620035.0,Valor de data fora dos limites do Excel,Verificar e corrigir o formato da data
