RESOLUÃÃO,CTT,NÂ°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÃVEL,  ,Unnamed: 9
02/01/2025,208050.0,2.0,VALORES,RECEPTIVO,JULIO,SANTANDER,ELIZABETE,RESOLVIDO,APROVADO
02/01/2025,132559.0,1.0,VALORES,RECEPTIVO,JULIO,VOLKSWAGEN,ELIZABETE,RESOLVIDO,SEM DESCONTO
06/01/2025,197281.0,1.0,VALORES,RECEPTIVO,REVERSÃO,SANTANDER,FELIPE,RESOLVIDO,EM ACORDO
02/01/2025,157132.0,1.0,VALORES,RECEPTIVO,JULIO,SAFRA,FABIANA,RESOLVIDO,APROVADO
02/01/2025,218489.0,1.0,VALORES,RECEPTIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,SEM DESCONTO
03/01/2025,176412.0,2.0,VALORES,RECEPTIVO,JULIO,ITAÃ,MATHEUS,RESOLVIDO,APROVADO
03/01/2025,218466.0,1.0,"R$ 3.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALANA,RESOLVIDO,
03/01/2025,215692.0,1.0,REVALIDAR ,RECEPTIVO,JULIO,ITAÃ,THALISSON,RESOLVIDO,APROVADO
10/01/2025,189610.0,1.0,"R$ 8.000,00",RECEPTIVO,JULIO,ITAÃ,ADRIANO,RESOLVIDO,APROVADO
20/01/2025,233695.0,1.0,VALORES,RECEPTIVO,LEANDRO,BRADESCO,YURI,RESOLVIDO,CANCELADO
07/01/2025,217682.0,3.0,"R$ 15.000,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,APROVADO
15/01/2025,227840.0,1.0,"R$ 8.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,MATHEUS,RESOLVIDO,
06/01/2025,215185.0,1.0,"R$ 3.300,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
02/01/2025,210678.0,2.0,"R$7.000,00",RECEPTIVO,JULIO,ITAÃ,ALANA,RESOLVIDO,APROVADO
02/01/2025,213845.0,1.0,"R$6.000,00",RECEPTIVO,JULIO,ITAÃ,ALINE,RESOLVIDO,
02/01/2025,188131.0,1.0,VALORES,RECEPTIVO,JULIO,PANAMERICANO,LETICIA,RESOLVIDO,QUITADO EMPRESA
02/01/2025,206038.0,1.0,"R$5.000,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,APROVADO
07/01/2025,215007.0,2.0,"R$ 13.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,135574.0,1.0,"11.000,00 - ultima tratativa",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,APROVADO
02/01/2025,218206.0,1.0,VALORES,RECEPTIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,AGUARDANDO COMPROVANTE
03/01/2025,205322.0,1.0,REVALIDAÃÃO ACORDO,RECEPTIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,83970.0,1.0,APROVAR CAMPANHA,ATIVO,JULIO,RENNER,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,99672.0,1.0,VALORES,ATIVO,JULIO,SAFRA,LETICIA,RESOLVIDO,APREENDIDO
02/01/2025,62157.0,1.0,VALORES,ATIVO,JULIO,OMNI,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
10/01/2025,215512.0,1.0,"R$ 5.000,00",ATIVO,JULIO,RENNER,JULIANE,RESOLVIDO,
02/01/2025,217639.0,1.0,VERIFICAR SE QUITOU,ATIVO,JULIO,ITAÃ,ISABELLA,RESOLVIDO,QUITAÃÃO PARCELADA
02/01/2025,218770.0,2.0,VALORES,ATIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,
02/01/2025,187143.0,1.0,VALORES,ATIVO,JULIO,RENNER,LETICIA,RESOLVIDO,APROVADO
02/01/2025,103062.0,2.0,VALORES,ATIVO,JULIO,SANTANA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,185408.0,1.0,"R$ 10.000,00",ATIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,176580.0,2.0,"R$ 10.400,00",RECEPTIVO,JULIO,RENNER,LETICIA,RESOLVIDO,QUITADO EMPRESA
02/01/2025,216061.0,2.0,"R$ 2.800,00",RECEPTIVO,JULIO,RENNER,ALANA,RESOLVIDO,SEM DESCONTO
02/01/2025,4785.0,1.0,VERIFICAR SE QUITOU,RECEPTIVO,JULIO,PANAMERICANO,ISABELLA,RESOLVIDO,QUITADO CLIENTE
05/12/2025,209655.0,1.0,valores,RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,TRANSFERÃNCIA
02/01/2025,181787.0,1.0,VALORES,RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,172999.0,3.0,VALORES,RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,205231.0,1.0,"R$ 54.900,00",ATIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
10/01/2025,163097.0,4.0,"R$ 5.000,00",ATIVO,JULIO,VOLKSWAGEN,LUARA,RESOLVIDO,
14/01/2025,169688.0,1.0,50% Ã¡ 80%,ATIVO,JULIO,PANAMERICANO,ADRIANO,RESOLVIDO,APROVADO
07/01/2025,169518.0,1.0,VALORES,ATIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,APROVADO
02/01/2025,221699.0,2.0,"R$ 6.200,00",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,216061.0,2.0,"R$ 2.800,00",ATIVO,JULIO,RENNER,ALANA,RESOLVIDO,
30/12/2025,180370.0,1.0,50% Ã¡ 80%,RECEPTIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,AGUARDANDO PROCURAÃÃO
07/01/2025,199953.0,1.0,50% Ã 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÃÃO
02/01/2025,221199.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
13/01/2025,206363.0,1.0,"R$ 12.000,00",RECEPTIVO,ANTUNES,BV FINANCEIRA,ANA GESSICA,RESOLVIDO,SEM DESCONTO
06/01/2025,217960.0,1.0,Verificar se fez acordo ,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,SEM DESCONTO
08/01/2025,213385.0,1.0,50% Ã¡ 80%,ATIVO,JULIO,BV FINANCEIRA,THALISSON,RESOLVIDO,APROVADO
07/01/2025,196721.0,2.0,"R$ 4.000,00",ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÃÃO
07/01/2025,236385.0,1.0,"R$ 4.000,00",ATIVO,JULIO,BV FINANCEIRA,ELISANGELA,RESOLVIDO,SEM DESCONTO
02/01/2025,222865.0,1.0,VALORES,ATIVO,JULIO,C6 BANK,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
18/12/2025,224689.0,1.0,"R$ 13.800,00",RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,SEM DESCONTO
10/01/2025,227473.0,1.0,VALORES,RECEPTIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÃÃO
02/01/2025,217578.0,2.0,"R$ 6.000,00",RECEPTIVO,JULIO,OMNI,POLIANA,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,210131.0,1.0,"REVALIDAR BOLETO 15.000,00",RECEPTIVO,ADRIANO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,APROVADO
02/01/2025,230573.0,1.0,"R$ 21.500,00",ATIVO,JULIO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,226215.0,2.0,valores,RECEPTIVO,JULIO,ITAÃ,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,228289.0,1.0,"R$ 8.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,188800.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
03/01/2025,144401.0,1.0,"R$ 27.000,00",RECEPTIVO,JULIO,RENNER,ISABELLA,RESOLVIDO,AGUARDANDO A ANÃLISE
02/01/2025,212806.0,2.0,"R$ 50.400,00",RECEPTIVO,ANTUNES,BRADESCO,ALANA,RESOLVIDO,SEM DESCONTO
30/12/2025,223160.0,1.0,"R$ 7.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,APROVADO
09/01/2025,180687.0,1.0,"R$ 5.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
02/01/2025,228252.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
